あなたと会って話すときは、知識や経験が出来るだけ必要のない、くだらなくバカバカしい話で笑って過ごしたい。そして笑顔でじゃあまたねとお別れしましょう。,must,positive,happy
一緒,must,positive,hearts
灰皿　空き缶,cant,negative,steam
抽選券,can,positive,happy
緑,must,positive,hearts
あったかい,could,positive,happy
雨,may,both,relieved
ハンガーの音,can,neither,relieved
昭和の考え方,should,both,thinking
ばれないように,must,negative,tongue
尖り,must,both,tongue
つながらない,must,positive,tongue
言語が違う,can,both,steam
早くなっている,should,both,relieved
白くて固い,cant,neither,crying
たくさん消えた,must,negative,crying
敬意,cant,both,crying
"I Want You Back / Izzo",must,positive,hearts
12時間,may,both,neutral
振り返る,can,both,thinking
"Wayback Machine",must,both,frowning
うる,can,positive,happy
ふかふか,must,positive,hearts
OKOK,could,neither,relieved
新しいカバー,can,positive,relieved
はてなブックマーク,can,unknown,thinking
お風呂,should,positive,relieved
やっちゃおっか,must,both,tongue
歩き方,can,both,thinking
タイミング,can,both,happy
躓くとき,can,both,thinking
どこにある？,must,negative,neutral
お願いする,can,both,relieved
型,can,both,thinking
常にある,can,unknown,neutral
持ち歩く,can,positive,happy
良くする,must,positive,happy
全部一緒,should,both,thinking
聞かれる前に言う,can,positive,tongue
また？,may,both,neutral
ほっぺた,cant,positive,happy
幻,cant,unknown,crying
"flight simulator",could,positive,relieved
さみしさ,can,both,neutral
たくましさ,can,both,thinking
信じる,can,both,relieved
勇気,should,positive,tongue
休む,must,positive,happy
おひさま,should,positive,relieved
揺れる,could,both,thinking
ストーリーテラー,can,both,thinking
きらきら,could,positive,frowning
メモリーツリー,can,positive,thinking
鬼,cant,negative,crying
"i wanna be an air plane",may,neither,hearts
転がるゴミ,should,positive,tongue
強い風,must,both,tongue
タチが悪い,cant,negative,crying
白い雨,could,unknown,frowning
簡単だよ,may,positive,relieved
草の匂い,may,both,relieved
かいじゅうのバラード,must,positive,happy
弱いものの重なり,should,both,tongue
錯覚させる力,should,both,tongue
kiri,can,both,neutral
結露,should,both,dizzy
"playing the piano",may,positive,relieved
雲雀,could,positive,hearts
ゆらぎ,may,both,relieved
48,must,negative,tongue
オスメス,must,negative,crying
コーラ,could,unknown,thinking
こわい,cant,negative,crying
1時間に1本,could,both,frowning
テレビ,could,unknown,relieved
光パルス,could,both,thinking
暗パルス,could,both,thinking
"Happy Card",must,positive,hearts
石ころ,cant,positive,relieved
"満ちhigh tide好き &引きlow tide嫌い",should,both,happy
お腹痛い,may,negative,dizzy
無条件,can,both,dizzy
素直に,may,both,thinking
銀の馬,could,positive,relieved
ガビーンすぎる,may,negative,dizzy
全部ハート,must,positive,happy
perfectbody21,must,positive,hearts
耳の裏,must,negative,thinking
利口,could,both,thinking
"honesty is such a lonely word",could,unknown,thinking
"residual traces",cant,unknown,thinking
あるある,can,both,thinking
力,cant,both,crying
どこにあるかわからない,should,negative,steam
"One Piece",can,both,tongue
表情フィードバック仮説,can,both,thinking
スケスケ,could,both,tongue
3時に二匹の猫が来る,must,positive,hearts
硬い米,must,negative,dizzy
🫐,can,positive,hearts
逆再生,can,both,frowning
やる気、元気,must,positive,tongue
"forever young",could,unknown,relieved
ほんまか？,cant,unknown,neutral
玉子,should,positive,hearts
卵,can,both,happy
🥚,can,both,thinking
"🍳
🍳",should,positive,happy
"ATTACK ALL AROUND",can,both,thinking
"Vorschule im Klavierspiel",can,positive,hearts
"I Can't Remember The Words To This Song",must,positive,hearts
エロテロリスト,could,both,dizzy
神,cant,unknown,crying
優しい雨／小泉今日子,could,both,relieved
ーー　！,can,both,happy
賛美歌,may,positive,happy
怖い,could,negative,crying
最終回,can,negative,crying
ドキドキ,can,positive,happy
小さい文字,cant,unknown,happy
ペットボトルおしっこ,cant,negative,thinking
スケジュール帳を買う,must,positive,steam
何事もまず疑う,must,both,neutral
"123kkdsf-9-09231 ",can,both,relieved
深夜3時の丸亀製麺、うどんこねてた,should,both,
油粘土の詩,should,unknown,
焼きチョコ,must,positive,hearts
打ち上げ花火,must,positive,happy
ひろみ,could,unknown,thinking
DEI,must,positive,happy
ROI,must,both,thinking
しんご西成,could,both,relieved
矛盾したメッセージ,could,unknown,thinking
美的な疲労,should,positive,thinking
それを踏まえて,can,positive,thinking
自分の中にまだないベストな選択,must,both,thinking
合理的な狭い考え方,must,negative,steam
適当になんとなく,can,both,neutral
どうにかなる,should,both,neutral
そのやり方が正しいのか,can,unknown,thinking
やったらやったでダメで、やらなかったらそれもダメ,must,unknown,crying
まだ知らないまだやったことのないこと,must,unknown,tongue
これまでと同じことしかしていない,must,both,tongue
梅雨は7月前半,must,positive,happy
え？,cant,unknown,frowning
markdown,can,positive,happy
"合成樹脂（ゴム・プラスチック）の劣化評価・分析手法 ",can,negative,crying
バイアスかかりすぎ,can,both,neutral
こんがり,could,both,neutral
目的は何かを常に意識,must,positive,thinking
ESSENTIALS,may,positive,happy
"having a bad day",could,negative,crying
何が言いたいか自分でわかってないみたい,can,negative,crying
@hholdinghands,must,positive,hearts
マルイ病院,must,unknown,tongue
"Many Classic Moments",must,positive,relieved
"シーサイドコスモ 釣り解放区",should,positive,tongue
大阪ひかりの森,should,unknown,hearts
"風そよぐ丘 駐車場",must,unknown,happy
ギャルのおへそ,must,positive,happy
相合橋筋,can,neither,neutral
throwaway,cant,unknown,relieved
読み方,can,unknown,thinking
人を恨んだり妬んだりするほどの余裕はない,must,both,dizzy
良し悪しはそれぞれに決めればいいし、違って当たり前,must,both,tongue
APNG,can,positive,frowning
計画,must,both,thinking
複数のことを同時にしようとする,must,negative,thinking
solidarity,could,unknown,neutral
台風くるね、少し楽しみ,should,positive,dizzy
無気力,cant,unknown,dizzy
切り抜き,can,both,thinking
"go with me",could,positive,happy
お粗末,could,unknown,thinking
"CLICK to forgive.",may,unknown,relieved
"検索ワード 母",must,positive,happy
適材適所,must,positive,happy
Sunny,should,positive,hearts
Bloods,should,both,relieved
夢に出てきた,must,positive,hearts
クリオネ預かる,could,positive,hearts
"We should be all alive",must,both,happy
躍動したい,must,positive,hearts
また会おうね,must,positive,happy
38.9℃,must,negative,dizzy
エチケット,must,positive,hearts
重い罪,may,negative,
1日でアイス5本食べた,must,both,steam
ふるさと納税,must,positive,hearts
"Simon and the wind",must,both,hearts
歌を作って歌ってみようと思うけど、聞きたい人いるかな？,could,both,happy
金色の羽,could,positive,relieved
wajyutu.com,may,both,frowning
蚊取り線香爆竹,should,positive,tongue
段ボールベッド,should,positive,hearts
も,should,both,hearts
圧力,should,negative,steam
神様お願い,must,both,
明日やること,can,both,thinking
"scrap and build 破壊と再生",can,both,tongue
"day in bed",could,unknown,crying
寝れそう？,could,unknown,happy
日光の種類,may,both,thinking
"皮膚科 乳がん検診 子宮頸がん検診 絶対",can,both,crying
"831 i love you",must,positive,happy
お風呂で泳ぐ,must,positive,hearts
られる,can,both,frowning
自動演奏,should,both,hearts
antico,must,positive,happy
オートミール,should,both,thinking
お足もとの悪い中,could,both,neutral
ドラゴン,should,positive,tongue
漆喰に張り付くヤモリ,may,both,happy
月,may,neither,neutral
忘れられないけど、気にしないようにもできる,should,both,tongue
任務,may,both,happy
いいよ,may,positive,happy
水シャワー,must,both,steam
ごめんね,may,unknown,
"i call him raindrop",may,positive,hearts
必ずお守りください,can,unknown,happy
ノーパン,could,both,dizzy
爆上がり,must,positive,tongue
de,can,both,steam
なんてこった、、,must,negative,dizzy
ガーン,must,negative,crying
が〜ん,must,negative,dizzy
ガビーン！,must,negative,frowning
SSL,should,both,happy
"Creative Community ってなに？",can,both,thinking
なにも出来ない人たち,can,unknown,dizzy
鼻の根元の角質,should,negative,dizzy
考えるのもうやめた？,may,neither,dizzy
TCLB,should,positive,hearts
